Gameplay footage/gameplaymovie.avi	gitignored capture output; project.godot's movie_writer key is repointed to dev/recordings/
README broken provinces.txt	byte-identical duplicate of README.txt
README.txt	byte-identical to 'README broken provinces.txt'; README.md is the live one
Sprite folders grab bag/8x8humanblacksmith.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/8x8humanblacksmith.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/ChatGPT Image Feb 4, 2026, 12_11_27 PM.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/ChatGPT Image Feb 4, 2026, 12_11_27 PM.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Creatures - Animals.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Creatures - Animals.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Environment - Statues.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Environment - Statues.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Non-Playable Characters - Guard.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Non-Playable Characters - Guard.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Non-Playable Characters - Mages Guild.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Non-Playable Characters - Mages Guild.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Unused Content - Skeleton (Nov 1995 Demo).png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/MS-DOS - The Elder Scrolls II_ Daggerfall - Unused Content - Skeleton (Nov 1995 Demo).png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/arm swing 4x4.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/arm swing 4x4.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/arm swing 4x4fixed.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/arm swing 4x4fixed.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/attacks.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/attacks.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/bat.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/bat.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/bat_idle.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/bat_idle.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/blood spatch.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/blood spatch.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/cultist.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/cultist.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/dead gorey.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/dead gorey.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/flame_pillar1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/flame_pillar1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_2.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_2.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_entrance.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/fortification_entrance.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/gargoyle.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/gargoyle.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/gate1.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/gate1.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/goblin war boss dying.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/goblin war boss dying.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/goblin war boss walking.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/goblin war boss walking.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/grid_100x100_transparent.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/grid_100x100_transparent.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/grid_20x20.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/grid_20x20.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/guard2_civilian.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/guard2_civilian.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/hanging dead.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/hanging dead.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/rat.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/rat.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/rat_moving.png	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
Sprite folders grab bag/rat_moving.png.import	52 PNGs; the union of all 52 uids greps to 0 hits across the tree and .godot/. The one doc that names it lists filenames that are not in it.
